loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_roc_auc,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,init_mem_cpu_alloc_delta,init_mem_gpu_alloc_delta,init_mem_cpu_peaked_delta,init_mem_gpu_peaked_delta,train_mem_cpu_alloc_delta,train_mem_gpu_alloc_delta,train_mem_cpu_peaked_delta,train_mem_gpu_peaked_delta,before_init_mem_cpu,before_init_mem_gpu
1.1268518829345704,9.443777084350586,5.833333333333334e-06,0.08912655971479501,50,,,,,,,,,,,,,,,,,,,,,,,,
0.28721607208251954,2.1304049491882324,1.1785714285714287e-05,0.17825311942959002,100,,,,,,,,,,,,,,,,,,,,,,,,
0.13086934089660646,4.597600936889648,1.7738095238095237e-05,0.26737967914438504,150,,,,,,,,,,,,,,,,,,,,,,,,
0.12296406745910644,0.3918772339820862,1.9590759075907593e-05,0.35650623885918004,200,,,,,,,,,,,,,,,,,,,,,,,,
0.0960252571105957,0.15831264853477478,1.8930693069306932e-05,0.44563279857397503,250,,,,,,,,,,,,,,,,,,,,,,,,
0.07016812324523926,0.2210887223482132,1.827062706270627e-05,0.5347593582887701,300,,,,,,,,,,,,,,,,,,,,,,,,
0.047271618843078615,13.195544242858887,1.7610561056105613e-05,0.6238859180035651,350,,,,,,,,,,,,,,,,,,,,,,,,
0.05213517665863037,0.13716024160385132,1.6950495049504952e-05,0.7130124777183601,400,,,,,,,,,,,,,,,,,,,,,,,,
0.05141465187072754,2.38187575340271,1.629042904290429e-05,0.8021390374331551,450,,,,,,,,,,,,,,,,,,,,,,,,
0.053339266777038576,0.08443012833595276,1.563036303630363e-05,0.8912655971479501,500,,,,,,,,,,,,,,,,,,,,,,,,
0.02612725496292114,0.07947207242250443,1.4970297029702972e-05,0.9803921568627451,550,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.0,561,0.01587708853185177,0.999689,0.996657,0.99685,0.994571,0.995709,2627.1922,3.416,0.107,,,,,,,,,,,,,,,
0.030145773887634276,0.02265181578695774,1.4310231023102312e-05,1.0695187165775402,600,,,,,,,,,,,,,,,,,,,,,,,,
0.01968364953994751,0.03802930563688278,1.3650165016501651e-05,1.1586452762923352,650,,,,,,,,,,,,,,,,,,,,,,,,
0.012546106576919555,0.005333877634257078,1.2990099009900992e-05,1.2477718360071302,700,,,,,,,,,,,,,,,,,,,,,,,,
0.01346488356590271,0.2405133694410324,1.2330033003300331e-05,1.3368983957219251,750,,,,,,,,,,,,,,,,,,,,,,,,
0.012573882341384887,0.1178520917892456,1.1669966996699671e-05,1.4260249554367201,800,,,,,,,,,,,,,,,,,,,,,,,,
0.026412210464477538,0.051133595407009125,1.1009900990099012e-05,1.5151515151515151,850,,,,,,,,,,,,,,,,,,,,,,,,
0.013675351142883301,3.4168541431427,1.0349834983498351e-05,1.6042780748663101,900,,,,,,,,,,,,,,,,,,,,,,,,
0.00968381941318512,0.0936058834195137,9.689768976897692e-06,1.6934046345811051,950,,,,,,,,,,,,,,,,,,,,,,,,
0.012442193031311034,0.004972467198967934,9.02970297029703e-06,1.7825311942959001,1000,,,,,,,,,,,,,,,,,,,,,,,,
0.02846824884414673,0.05483685061335564,8.369636963696371e-06,1.8716577540106951,1050,,,,,,,,,,,,,,,,,,,,,,,,
0.01969360113143921,0.013894936069846153,7.70957095709571e-06,1.9607843137254903,1100,,,,,,,,,,,,,,,,,,,,,,,,
